id,dupe_flag
100018035,TRUE
100018038,TRUE
100018039,TRUE
100018042,TRUE
100018043,TRUE
100018044,TRUE
100018058,TRUE
100018059,TRUE
100018062,TRUE
100018068,TRUE
100018074,TRUE
100018078,TRUE
100018080,TRUE
100018081,TRUE
100018083,TRUE
100018085,TRUE
100018087,TRUE
100018106,TRUE
100018143,TRUE
100018145,TRUE
100018357,TRUE
100018361,TRUE
100018552,TRUE
100018586,TRUE
100019627,TRUE
100019630,TRUE
100019770,TRUE
100019773,TRUE
100019811,TRUE
100019815,TRUE
100020399,TRUE
100020729,TRUE
100020826,TRUE
100020830,TRUE
100020832,TRUE
100020834,TRUE
100020837,TRUE
100020966,TRUE
100020968,TRUE
100020970,TRUE
100020972,TRUE
100021110,TRUE
100021112,TRUE
100021138,TRUE
100021140,TRUE
100021142,TRUE
100021144,TRUE
100021198,TRUE
100021200,TRUE
100021202,TRUE
100021206,TRUE
100021208,TRUE
100021212,TRUE
100021236,TRUE
100021305,TRUE
100021313,TRUE
100021660,TRUE
100021662,TRUE
100021839,TRUE
100021865,TRUE
100021915,TRUE
100021919,TRUE
100021921,TRUE
100022017,TRUE
100022158,TRUE
100022160,TRUE
100022162,TRUE
100022260,TRUE
100022262,TRUE
100022264,TRUE
100022497,TRUE
100022543,TRUE
100022610,TRUE
100022612,TRUE
100022635,TRUE
100022668,TRUE
100022670,TRUE
100022672,TRUE
100022691,TRUE
100022719,TRUE
100022721,TRUE
100022725,TRUE
100022727,TRUE
100022810,TRUE
100022812,TRUE
100023004,TRUE
100023006,TRUE
100023056,TRUE
100023058,TRUE
100023060,TRUE
100023062,TRUE
100023132,TRUE
100023134,TRUE
100023136,TRUE
100023138,TRUE
100023498,TRUE
100023500,TRUE
100023644,TRUE
100023646,TRUE
100023648,TRUE
100023652,TRUE
100023654,TRUE
100023656,TRUE
100023658,TRUE
100023660,TRUE
100023662,TRUE
100023664,TRUE
100023781,TRUE
100023892,TRUE
100023903,TRUE
100023909,TRUE
100023932,TRUE
100023934,TRUE
100023965,TRUE
100023971,TRUE
100023978,TRUE
100024039,TRUE
100024053,TRUE
100024136,TRUE
100024216,TRUE
100024579,TRUE
100024817,TRUE
100024919,TRUE
100025039,TRUE
100025250,TRUE
100025291,TRUE
100025307,TRUE
100025312,TRUE
100025345,TRUE
100025346,TRUE
100025347,TRUE
100025382,TRUE
100025452,TRUE
100025454,TRUE
100025460,TRUE
100025574,TRUE
100025633,TRUE
100025643,TRUE
100026171,TRUE
100026229,TRUE
100026614,TRUE
100026748,TRUE
100026780,TRUE
100026790,TRUE
100026792,TRUE
100026800,TRUE
100026802,TRUE
100026808,TRUE
100026824,TRUE
100026826,TRUE
100026842,TRUE
100026846,TRUE
100026864,TRUE
100027182,TRUE
100027201,TRUE
100027245,TRUE
100027275,TRUE
100027277,TRUE
100027278,TRUE
100027283,TRUE
100027285,TRUE
100027287,TRUE
100027291,TRUE
100027295,TRUE
100027297,TRUE
100027299,TRUE
100027315,TRUE
100027317,TRUE
100027339,TRUE
100027576,TRUE
100028019,TRUE
100028021,TRUE
100028064,TRUE
100028076,TRUE
100028248,TRUE
100028334,TRUE
100028336,TRUE
100028419,TRUE
100028516,TRUE
100028537,TRUE
100028596,TRUE
100028600,TRUE
100028614,TRUE
100028837,TRUE
100028863,TRUE
100029007,TRUE
100029292,TRUE
100029298,TRUE
100029313,TRUE
100029343,TRUE
100029354,TRUE
100029362,TRUE
100029821,TRUE
100030145,TRUE
100030171,TRUE
100030350,TRUE
100031255,TRUE
100031277,TRUE
100031290,TRUE
100031306,TRUE
100031308,TRUE
100031400,TRUE
